,formattedAddress,location,rating,businessStatus,userRatingCount,displayName,primaryTypeDisplayName,priceRange,websiteUri
396,"Plaza Dorada Calle 50 Num. 143 Locales 111, 112 y 113, Nueva Hidalgo, 97220 Mérida, Yuc., Mexico","{'latitude': 20.9932149, 'longitude': -89.6527734}",4.2,OPERATIONAL,1976.0,"{'text': 'My Old Mill Plaza Dorada', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",http://www.miviejomolino.com/
397,"C. 21 206, Zona Dorada II, 97229 Mérida, Yuc., Mexico","{'latitude': 20.9935182, 'longitude': -89.652329}",3.0,OPERATIONAL,1.0,"{'text': 'Cafetería Tapioca', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
398,"Plaza ""Las Palmas"", C. 21, Miguel Hidalgo, 97229 Mérida, Yuc., Mexico","{'latitude': 20.9936862, 'longitude': -89.65491120000002}",4.6,OPERATIONAL,5.0,"{'text': 'Saacil coffe', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
399,"Calle 70 & Calle 11ᴬ, Residencial Pensiones V, 97217 Mérida, Yuc., Mexico","{'latitude': 20.9988669, 'longitude': -89.6600598}",5.0,OPERATIONAL,1.0,"{'text': 'Pocket Boutique', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
400,"Calle 13 660, Residencial Pensiones, 97217 Mérida, Yuc., Mexico","{'latitude': 20.995743299999997, 'longitude': -89.6539726}",,OPERATIONAL,,"{'text': 'Sabor de a 10', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
401,"360, El Porvenir, 97226 Mérida, Yuc., Mexico","{'latitude': 20.9919595, 'longitude': -89.6647079}",,OPERATIONAL,,"{'text': 'Cafetería y snacks el punto', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
402,"No. 221A L-2 x 36 y, C. 21 38, García Ginerés, 97218 Mérida, Yuc., Mexico","{'latitude': 20.9891658, 'longitude': -89.6414562}",4.0,OPERATIONAL,7.0,"{'text': 'Cafe Luz María Casellas', 'languageCode': 'en'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,http://www.facebook.com/CafeteriaLuzMariaCasellas
403,"C. 52 375 E, Residencial Pensiones IV, 97217 Mérida, Yuc., Mexico","{'latitude': 20.9948302, 'longitude': -89.6481415}",4.7,OPERATIONAL,38.0,"{'text': 'Olenka Comida y Postres Ucranianos', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.instagram.com/comida_ucraniana_merida_2023?igsh=MTNndjJseGY4Z2g1NQ==
404,"Plaza Las Américas, Miguel Hidalgo, 97229 Mérida, Yuc., Mexico","{'latitude': 20.9918645, 'longitude': -89.64908109999999}",4.1,OPERATIONAL,119.0,"{'text': 'YUCHA', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
405,"C. 21 327, Miguel Hidalgo, 97220 Mérida, Yuc., Mexico","{'latitude': 20.990643499999997, 'longitude': -89.64911339999999}",4.0,OPERATIONAL,198.0,"{'text': 'Starbucks Plaza Las Américas', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
406,"C. 50 S/N, Miguel Hidalgo, 97220 Mérida, Yuc., Mexico","{'latitude': 20.990560499999997, 'longitude': -89.6488452}",3.1,OPERATIONAL,39.0,"{'text': 'Starbucks Las Americas', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
407,"García Ginerés, 97218 Merida, Yucatan, Mexico","{'latitude': 20.9949565, 'longitude': -89.6394371}",5.0,OPERATIONAL,1.0,"{'text': 'CAFETERIA', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}",,
408,"CALLE 21, Av Miguel Hidalgo 323 A-NO. 323 Y, Miguel Hidalgo, 97220 Mérida, Yuc., Mexico","{'latitude': 20.9908642, 'longitude': -89.6502024}",4.4,OPERATIONAL,1333.0,"{'text': 'El Globo Plaza Royal Mérida', 'languageCode': 'es'}","{'text': 'Bakery', 'languageCode': 'en-US'}",,https://www.elglobo.com.mx/
409,"Plaza Las Américas, C. 21 331, Miguel Hidalgo, 97217 Mérida, Yuc., Mexico","{'latitude': 20.9926876, 'longitude': -89.6495532}",4.0,OPERATIONAL,293.0,"{'text': 'Bubbaplop!', 'languageCode': 'es'}","{'text': 'Tea House', 'languageCode': 'en-US'}",,
410,"97070, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.988191699999998, 'longitude': -89.63851559999999}",,OPERATIONAL,,"{'text': 'Café Ra Rá Mid', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
411,"C. 36 221, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.9886619, 'longitude': -89.64080419999999}",4.6,OPERATIONAL,148.0,"{'text': 'CAFETHÓ', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.facebook.com/veronica.cafetho.5
412,"97050, C. 22 105-por 21 y 23, Yucatán, 97205 Mérida, Yuc., Mexico","{'latitude': 20.9949503, 'longitude': -89.62752809999999}",4.5,OPERATIONAL,58.0,"{'text': 'Amor De Café Mérida', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}",,
413,"C. 22 199g, entre 19 y Av. Colón, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.9884456, 'longitude': -89.6336807}",4.5,OPERATIONAL,397.0,"{'text': 'Catalina Bakery', 'languageCode': 'es'}","{'text': 'Bakery', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",https://www.instagram.com/catalinabakerymx/
414,"C. 28, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.9936532, 'longitude': -89.6357393}",5.0,OPERATIONAL,30.0,"{'text': 'Hilaria Casa Del Café', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
415,"C. 17 No 198-Local 2, entre 18 y 20, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.989535999999998, 'longitude': -89.6321311}",4.8,OPERATIONAL,36.0,"{'text': 'Marshé Mercado & Healthy Bar', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.instagram.com/marshe.selecto/
416,"C. 16 307A-x 41a, Pedregales de Tanlum, 97210 Mérida, Yuc., Mexico","{'latitude': 20.9983385, 'longitude': -89.6314869}",5.0,OPERATIONAL,2.0,"{'text': 'Corazón Contento', 'languageCode': 'es'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}",,
417,"C. 16 198M, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.987132499999998, 'longitude': -89.63076079999999}",4.7,OPERATIONAL,1015.0,"{'text': 'Flores Café', 'languageCode': 'en'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",https://www.facebook.com/Flores-Cafe-851036948268505/
418,"Av. Colón 505-A, García Ginerés, 97109 Mérida, Yuc., Mexico","{'latitude': 20.9873711, 'longitude': -89.62625469999999}",3.2,OPERATIONAL,25.0,"{'text': 'We Proudly Serve Starbucks - Hotel Wyndham', 'languageCode': 'es'}","{'text': 'Cafe', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",http://starbucks.com/
419,"C. 18 198, García Ginerés, 97070 Mérida, Yuc., Mexico","{'latitude': 20.9894161, 'longitude': -89.6313024}",4.8,OPERATIONAL,67.0,"{'text': 'Coffe Mike', 'languageCode': 'es'}","{'text': 'Cafeteria', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '100'}, 'endPrice': {'currencyCode': 'MXN', 'units': '200'}}",
420,"Calle 21 102, Yucatán, 97050 Mérida, Yuc., Mexico","{'latitude': 20.9943127, 'longitude': -89.62670940000001}",4.6,OPERATIONAL,148.0,"{'text': 'Calidia', 'languageCode': 'en'}","{'text': 'Coffee Shop', 'languageCode': 'en-US'}","{'startPrice': {'currencyCode': 'MXN', 'units': '200'}, 'endPrice': {'currencyCode': 'MXN', 'units': '300'}}",https://www.instagram.com/calidia.mid?igsh=MWE4ZjlmajUxbnBieA==&utm_source=qr
